entreprise;type_entreprise;siren;volet_relance;mesure;nom_departement;nom_commune;code_postal;coordonnees_gps;description_projet;mesure_light;mise_a_jour;filiere;tonnes_equivalent_co2_pour_les_projets_decarbonation;code_departement;nom_region
OFFICE DU FONCTIONNEL;TPE / PME;330929662;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;SEINE-MARITIME;ALERIA;76510;49.88328160558868, 1.2106172743627042;Depuis plus de 35 ans, ODF conçoit, fabrique et vend en direct des équipements de salle de bains destinés aux secteurs de l’hôtellerie et des résidences sénior. Forte de son expérience industrielle, l’entreprise assure à ses clients des produits de qualité conçus pour résister à un usage intensif.L’entreprise ODF réalise 33% de son chiffre d’affaires à l’exportation, essentiellement en Europe, pays du Maghreb et au Moyen-Orient. Elle est constituée d’un effectif de 35 personnes comprenant un service commercial multilingue, une unité de production bien automatisée et une logistique organisée autour de plusieurs transtockeurs. Le projet d’investissement, soutenu par l’Etat et la Région Normandie dans le cadre du dispositif du plan de relance, doit permettre de renforcer l’outil de production tout en visant l’objectif industrie 4.0. L’intégration de nouvelles machines numériques de type UGV et CNC améliorera la compétitivité de l’entreprise vis-à-vis de la concurrence internationale et lui donnera la possibilité d’ouvrir de nouveaux marchés. Cette intégration verticale a également pour but de diminuer les importations de pièces détachées, d’augmenter la rotation des stocks et de réduire l’impact carbone de l’entreprise dans une dynamique de transition écologique. Les nouvelles capacités de production apporteront de la flexibilité et offriront la possibilité de faire plus de produits sur-mesure. Ainsi ODF pourra s’adapter plus rapidement aux tendances du marché de la décoration de la salle de bains (miroirs éclairants, plan vasque, sèche serviettes-électrique, pare-douche et accessoires…). Cette accélération de développement s’accompagnera d’une création d’emplois en territoire rural autour d’une activité pérenne, mettant en avant la qualité manufacturière française.;Projets territoriaux;2021-06-03;Chimie et Matériaux;;76.0;NORMANDIE
INEOS Sarralbe - VEOLIA;;40311943100027;Verdissement;Soutien à la chaleur bas carbone;MOSELLE;HAMBACH;57910;49.0541849142, 7.03768665525;Installation biomasse de 2*4,2 MW sur le site d'Ineos à Hambach (substitution au gaz);Soutien à la chaleur bas carbone;2022-03-21;Industrie automobile;8794.194444444443;57.0;GRAND EST
ORYS MONOD;GE;30687831500069;Indépendance / Compétitivité;Fonds de soutien aux investissements du secteur nucléaire;LOIRET;BEAULIEU SUR LOIRE;45630;47.5351183131, 2.80260257631;"ORYS est une société de service dédiée au secteur du nucléaire dans les domaines des travaux neufs et de la maintenance industrielle. La société est filiale à 100 % du groupe de services ORTEC, intégrateur de solutions en ingénierie et travaux, en France et à l’international.
Les projets de modernisation « Ateliers Pierrelatte » et « Atelier Belleville » concernent respectivement l'installation d’un process d’assemblage d’éléments de tuyauteries à haute valeur ajoutée pour la réalisation de circuits nucléaires, suivant les codes RCCM et la règlementation ESPN sur le site de Pierrelatte ainsi que la modernisation des outils de production du site de Belleville en créant une activité de découpe laser et  l’implantation d’une nouvelle machine numérique.";Nucléaire;2021-10-28;Nucléaire;;45.0;CENTRE-VAL DE LOIRE
ASSISTANCE AÉRONAUTIQUE ET AÉROSPATIALE;ETI;353522204;Verdissement;Modernisation de la filière aéronautique;HAUTE-GARONNE;COLOMIERS;31772;43.61680265897086, 1.3444657072961952;AAA est une société Française internationale de services industriels spécialisée dans la production In-Situ, le support à la production (Méthodes, Préparation Technique, Logistique, Qualité, etc …), la maintenance et la formation. Le projet vise à s'inscrire dans une démarche Industrie du futur, ainsi que de diversifier les activités à la fois sur les métiers et sur les secteurs visés.;Aéronautique;2021-12-09;Aéronautique;;31.0;OCCITANIE
BOIS-FACTORY 70;TPE / PME;442858551;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;HAUTE-SAÔNE;DEMANGEVELLE;70210;47.9305643607, 6.03941576973;Le projet consiste à poursuivre les investissements entrepris en 2020 sur l'usine Bois-Factory 70 basée à Demangevelle en Haute-Saône sur une friche industrielle (ancienne filature). Cette usine a vocation à produire des biocombustibles haute performance pour un usage domestique résidentiel (alimentation de bois bûche et de briquettes pour inserts, foyers fermés et poêles à bois). Cette production de biocombustibles haute performance s'inscrit dans le double enjeu de développement des énergies renouvelables (bois énergie) et d'amélioration de la qualité de l'air;Projets territoriaux;2021-03-02;Bois;;70.0;BOURGOGNE-FRANCHE-COMTÉ
FRANCE LUXURY SHIRT / FLS;TPE / PME;491077624;Indépendance / Compétitivité;Soutien à l’investissement industriel dans les territoires;LOIRET;BERNAY;45700;47.97639787794891, 2.6994785999014135;"France Luxury Shirt, installée dans le Montargois depuis 1836 est un atelier de confection de chemise en sous-traitance pour les maisons de luxe françaises. Le projet s’inscrit dans le plan de modernisation de l’entreprise ayant pour but de maintenir et faire croitre en France la production de prêt à porter de luxe ; en modernisant l’outil de production et en s’adaptant à la concurrence étrangère. L’objectif est de pouvoir acquérir le site, réorganiser la production et investir dans de nouveaux équipements industriels automatiques à commandes numériques. Ce maintien permettra de conserver des savoirs faire qui disparaissent actuellement en France. L'objectif est de permettre des optimisations afin de diminuer les couts de production et de proposer de nouvelles solutions techniques tout en garantissant la qualité de fabrication. Les gains de productivité et de qualité attendus sont de l’ordre de 15%. A travers ce projet sont visés, la pérennité de l’emploi des 50 salariés, le renouvellement de 10 départs à la retraite et le recrutement, puis formation, de 10 personnes.";Projets territoriaux;2021-04-20;Mode et Luxe;;45.0;CENTRE-VAL DE LOIRE
FONDERIE LORRAINE SAS;GE;403396740;Verdissement;Modernisation de la filière automobile;MOSELLE;GROSBLIEDERSTROFF;57520;49.1552146769, 7.02220762018;"Fonderie Lorraine SAS est un équipementier automobile, joint-venture des 
groupes Voit Automotive GmbH et ZF Friedrichshafen AG, qui développe et 
produit des pièces pour boites de vitesse automatiques et carters de moteurs 
électriques, avec une activité de moulage sous pression , d’usinage, de contrôle 
en étanchéité et de contrôle dimensionnel. 
Le projet compte un axe de modernisation et d'investissement dans l'outil 
industriel pour réaliser le carter et les deux couvercles du moteur électrique 
pour le compte d'un grand constructeur allemand, et un axe innovation et 
développement des processus vers la traçabilité complète et le micro 
poteyage.";Automobile;2021-04-21;Automobile;;57.0;GRAND EST
GILLET GROUP;TPE / PME;434105284;Verdissement;Modernisation de la filière automobile;HAUTE-MARNE;NOGENT;52800;48.037521428, 5.36502804198;"Gillet Group, concepteur et fabricant d’outillage à main depuis 1977, 
accompagne ses clients OEM dans la transition technologique des véhicules 
hybrides et électriques. 
Partenaire historique pour équiper en outillages spécifiques les réseaux d’après 
ventes des constructeurs automobiles européens, le projet de l’entreprise 
comprend des investissements dans de nouveaux moyens de production plus 
performants et novateurs, mais aussi une stratégie de montée en compétence 
du personnel vers de nouvelles technologies productives pour concrétiser un 
programme de polyvalence et de poly-compétences.";Automobile;2021-04-21;Automobile;;52.0;GRAND EST
SAFT SAS;GE;38370387300034;Verdissement;Modernisation de la filière automobile;CHARENTE;Nersac;16440;45.6253691605, 0.0621903047823;"Saft est une entreprise spécialisée dans la conception, la fabrication et la commercialisation de batteries de haute technologie à destination des marchés des énergies renouvelables, du ferroviaire et de l’aviation, entre autres. 
Le projet DOREMIFAB 2 vise à développer une ligne de fabrication en série de batteries Li-ion haute tension à destination des véhicules électriques non routiers (e.g., ports, aéroports, construction, mines) via l’adaptation de la ligne d’assemblage basse tension, la fabrication d’une station d’assemblage de power box, l’installation de bancs de tests, l’installation d’une ligne de production haute tension automatisée et le développement de produits haute tension.";Automobile;2022-02-03;Automobile;;16.0;NOUVELLE-AQUITAINE
ONET TECHNOLOGIES CN;GE;352176721;Indépendance / Compétitivité;Fonds de soutien aux investissements du secteur nucléaire;BOUCHES-DU-RHÔNE;SABLÉ-SUR-SARTHE;13009;43.23816238598397, 5.394314805601667;"Présent sur le marché depuis une quarantaine d'années, Onet Technologies est spécialisé dans l'ingénierie et la maintenance des réacteurs, le démantèlement et le traitement des déchets nucléaires ainsi que dans les services à l’exploitant auprès des grands acteurs du secteur nucléaire. La culture de la sécurité et de la sûreté, la gestion des compétences et la performance opérationnelle sont au cœur des services délivrés par Onet Technologies pour chacun de ses clients. L'entreprise compte aujourd'hui plus de 2 900 collaborateurs, ingénieurs et techniciens avec des implantations et des partenariats pérennes à l'international. Onet Technologies est un membre actif du GIFEN, Groupement des Industriels Français de l’Energie Nucléaire.

Le projet, labellisé par le pôle de compétitivité Nuclear Valley, consiste en l’industrialisation d’un laser pulsé pour la décontamination de composants au cœur d’un réacteur nucléaire. 
Grâce à un bras robotisé, ce laser peut être piloté facilement, à distance, sous air comme sous eau. Associé à un système de contrôle de l’efficacité, il permet d’éliminer l’utilisation de solvants chimiques habituellement utilisés pour la décontamination, de réduire le temps d’intervention et l’exposition des intervenants.
Ce procédé permettra de créer à terme près de 15 emplois pour une application directe sur des projets d’extension de durée de vie des installations nucléaires en France et à l’international.";Nucléaire;2021-04-26;Nucléaire;;13.0;PROVENCE-ALPES-CÔTE D'AZUR
NIMROD TECHNOLOGIES;TPE / PME;333024008;Verdissement;Modernisation de la filière aéronautique;VAL-D'OISE;TAVERNY;95150;49.02735712578813, 2.224050780511738;"La société Nimrod Technologies est spécialisée dans le secteur aéronautique, dans les métiers de chaudronnerie de précision et mécanosoudure. 
Le projet Taverny 2020 vise à diversifier les activités, moderniser les capacités de production industrielle vers un site unique haute performance technique et écoefficiente, et intégrer la transformation numérique dans l’environnement de production en alignement avec l’industrie du futur.";Aéronautique;2021-02-10;Aéronautique;;95.0;ÎLE-DE-FRANCE
GUINAULT;TPE / PME;569800725;Verdissement;Modernisation de la filière aéronautique;LOIRET;SAINT-CYR-EN-VAL;45590;47.8140953159, 1.95982379984;"La société GUINAULT conçoit et fabrique des équipements de servitudes 
aéronautique, destinés à fournir l’énergie (électricité, climatisation) à l’avion 
lors de son séjour sur le l’aéroport. 
Ces machines assurent une réduction significative des émissions carbonées sur 
le tarmac, permettant l’arrêt des moteurs avions, y compris APU (Unité 
auxiliaire de puissance). Le projet présenté par GUINAULT permet d’aller plus 
loin dans la réduction des émissions de CO2 des avions au sol. Il permet 
d’accélérer le développement de solutions techniques de la transition 
énergétique, et leur mise en œuvre auprès des compagnies aériennes. Il permet 
de renforcer la collaboration avec des partenaires industriels Français pour la 
fourniture de certains composants clés.";Aéronautique;2021-04-21;Aéronautique;;45.0;CENTRE-VAL DE LOIRE
